,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
X,Y,,A,,,,,,,
60,-2.63567638,,,,,,,,,
46.4034,-1.729236375,,,,,,,,,
37.12272,-1.110524372,,,,,,,,,
32.15796,-0.779540371,,,,,,,,,
,,,,,,,,,,
32.15796,-0.77954037,,B,,,,,,,
12.77197333,-0.23600248,,,,,,,,,
-6.614013333,0.299070399,,,,,,,,,
-26,2.74104,,,,,,,,,
,,,,,,,,,,
-26,2.741007,,C,,,,,,,
-29,3.576050,,,,,,,,,
-32,4.792505,,,,,,,,,
-35,6.867385,,,,,,,,,
,,,,,,,,,,
-35,6.867503758,,D,,,,,,,
-36,7.892116656,,,,,,,,,
-37,9.194086442,,,,,,,,,
-38.42666907,11.99973814,,,,,,,,,
,,,,,,,,,,
-38.42666907,11.99973814,,E,,,,,,,
-39,13.57495192,,,,,,,,,
-40,16.32242934,,,,,,,,,
-41.49665995,20.43446876,,,,,,,,,
,,,,,,,,,,
-41.4967,20.43457858,,F,,,,,,,
-43.0488581,23.81820642,,,,,,,,,
-44.60101619,26.22204082,,,,,,,,,
-46.15317429,28.10763069,,,,,,,,,
,,,,,,,,,,
-46.15317429,28.10763066,,G,,,,,,,
-51.69035149,31.5345666,,,,,,,,,
-57.22752869,31.79144249,,,,,,,,,
-62.76470588,29.14928099,,,,,,,,,
,,,,,,,,,,
-62.76470588,29.14928099,,H,,,,,,,
-65.17647059,26.72903863,,,,,,,,,
-67.58823529,23.16631813,,,,,,,,,
-70,13.5192593,,,,,,,,,
